epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
54,72475,0.62024,0.46959,0.07095,0.74214,0.54523,0.57542,0.32914,0.57978,0.47446,0.07495,7.25094e-05,7.25094e-05,7.25094e-05
55,73815,0.62008,0.46949,0.07085,0.7428,0.54606,0.57607,0.32951,0.57955,0.47421,0.0749,7.15761e-05,7.15761e-05,7.15761e-05
56,75155.5,0.6197,0.46886,0.07083,0.74215,0.54709,0.57691,0.33015,0.57946,0.47394,0.07489,7.06335e-05,7.06335e-05,7.06335e-05
57,76495.6,0.61902,0.46883,0.07077,0.74649,0.54565,0.57709,0.33037,0.57925,0.47374,0.07485,6.9682e-05,6.9682e-05,6.9682e-05
58,77835.6,0.61972,0.46846,0.07089,0.74826,0.54539,0.57764,0.33069,0.57897,0.47365,0.07481,6.87222e-05,6.87222e-05,6.87222e-05
59,79174.5,0.618,0.46847,0.07071,0.73311,0.53837,0.57736,0.33105,0.57863,0.47359,0.07477,6.77543e-05,6.77543e-05,6.77543e-05
60,80513.7,0.6174,0.46831,0.07063,0.73637,0.54,0.57811,0.33108,0.57832,0.47354,0.07473,6.67789e-05,6.67789e-05,6.67789e-05
61,81859.9,0.61828,0.46876,0.07047,0.73465,0.5419,0.57894,0.33073,0.57797,0.47363,0.07461,6.57963e-05,6.57963e-05,6.57963e-05
62,83201.7,0.61849,0.46785,0.07044,0.73489,0.54169,0.57884,0.33116,0.57784,0.47329,0.07461,6.48071e-05,6.48071e-05,6.48071e-05
63,84545.9,0.61767,0.46777,0.0702,0.72894,0.5419,0.57942,0.33171,0.57759,0.47314,0.07452,6.38115e-05,6.38115e-05,6.38115e-05
64,85891.3,0.6164,0.46789,0.07012,0.74022,0.53858,0.57935,0.33244,0.57723,0.47331,0.0745,6.28101e-05,6.28101e-05,6.28101e-05
65,87237.2,0.61747,0.46806,0.07033,0.75488,0.55141,0.58571,0.33793,0.57702,0.47327,0.07446,6.18034e-05,6.18034e-05,6.18034e-05
66,88583.4,0.61704,0.46779,0.07026,0.70289,0.55948,0.58418,0.33616,0.57674,0.47328,0.07441,6.07916e-05,6.07916e-05,6.07916e-05
67,89928.9,0.61641,0.46794,0.0702,0.74209,0.54931,0.58662,0.33773,0.57646,0.47326,0.07435,5.97754e-05,5.97754e-05,5.97754e-05
68,91273.5,0.61621,0.46745,0.06998,0.73643,0.54944,0.58698,0.33797,0.57645,0.47286,0.07437,5.87551e-05,5.87551e-05,5.87551e-05
69,92618.1,0.61541,0.46742,0.06998,0.75681,0.54962,0.58716,0.33864,0.57598,0.47287,0.07422,5.77311e-05,5.77311e-05,5.77311e-05
70,93960.9,0.61473,0.46706,0.06993,0.73176,0.55171,0.58736,0.33853,0.57581,0.47286,0.07421,5.6704e-05,5.6704e-05,5.6704e-05
71,95303.5,0.61531,0.46749,0.0703,0.75238,0.55072,0.58737,0.33866,0.57558,0.47283,0.0741,5.56742e-05,5.56742e-05,5.56742e-05
72,96647.4,0.6151,0.46711,0.06972,0.74574,0.55066,0.58728,0.33863,0.57534,0.4727,0.07408,5.46421e-05,5.46421e-05,5.46421e-05
73,97989.9,0.61436,0.46673,0.06991,0.71396,0.55922,0.58539,0.33718,0.57521,0.47265,0.07399,5.36081e-05,5.36081e-05,5.36081e-05
74,99332.8,0.61393,0.4666,0.06976,0.73697,0.5514,0.58724,0.33846,0.57531,0.47236,0.07404,5.25728e-05,5.25728e-05,5.25728e-05
75,100675,0.61509,0.46699,0.06989,0.73787,0.5525,0.58782,0.33846,0.57541,0.47214,0.07405,5.15366e-05,5.15366e-05,5.15366e-05
76,102016,0.61305,0.46665,0.06958,0.74544,0.54857,0.58753,0.33864,0.57511,0.47226,0.07396,5.05e-05,5.05e-05,5.05e-05
77,103357,0.61321,0.46628,0.0696,0.74486,0.55063,0.58801,0.33891,0.57485,0.47222,0.07393,4.94634e-05,4.94634e-05,4.94634e-05
78,104699,0.61285,0.46649,0.0696,0.75305,0.54842,0.58844,0.33906,0.57503,0.47206,0.07399,4.84272e-05,4.84272e-05,4.84272e-05
79,106041,0.61294,0.46621,0.06941,0.74865,0.55006,0.58808,0.33802,0.57471,0.47209,0.07388,4.73919e-05,4.73919e-05,4.73919e-05
80,107382,0.61309,0.46623,0.06923,0.75046,0.55092,0.58927,0.33853,0.57478,0.47194,0.07385,4.63579e-05,4.63579e-05,4.63579e-05
81,108723,0.6128,0.46647,0.06973,0.74735,0.5518,0.58937,0.33874,0.57476,0.47197,0.07385,4.53258e-05,4.53258e-05,4.53258e-05
82,110064,0.61204,0.46606,0.06932,0.74752,0.54813,0.58941,0.33872,0.5745,0.47209,0.07379,4.4296e-05,4.4296e-05,4.4296e-05
83,111405,0.61327,0.46571,0.06919,0.7538,0.54888,0.58994,0.33926,0.57455,0.47187,0.07375,4.32689e-05,4.32689e-05,4.32689e-05
84,112744,0.61073,0.46671,0.06935,0.74913,0.55346,0.59022,0.33896,0.57452,0.47169,0.07373,4.22449e-05,4.22449e-05,4.22449e-05
85,114084,0.61256,0.46569,0.06934,0.7354,0.54945,0.58992,0.3393,0.57437,0.47186,0.07369,4.12246e-05,4.12246e-05,4.12246e-05
86,115424,0.61221,0.46569,0.06932,0.73913,0.54731,0.59021,0.33951,0.57439,0.47167,0.07367,4.02084e-05,4.02084e-05,4.02084e-05
87,116765,0.61137,0.46523,0.06915,0.73944,0.54847,0.59061,0.33949,0.57422,0.47173,0.07364,3.91966e-05,3.91966e-05,3.91966e-05
88,118105,0.61015,0.4656,0.06891,0.73263,0.54859,0.58708,0.33675,0.57414,0.47164,0.07365,3.81899e-05,3.81899e-05,3.81899e-05
89,119445,0.61076,0.46542,0.06906,0.7144,0.55533,0.58672,0.33682,0.57417,0.47143,0.07367,3.71885e-05,3.71885e-05,3.71885e-05
90,120786,0.60984,0.46545,0.06905,0.72438,0.55323,0.58673,0.33673,0.57409,0.47146,0.07363,3.61929e-05,3.61929e-05,3.61929e-05
91,122132,0.61026,0.46539,0.06903,0.72144,0.55319,0.5862,0.33679,0.57411,0.47138,0.07362,3.52037e-05,3.52037e-05,3.52037e-05
92,123474,0.60992,0.46535,0.06877,0.71294,0.55537,0.58717,0.33699,0.57398,0.47134,0.07362,3.42211e-05,3.42211e-05,3.42211e-05
93,124819,0.61049,0.46525,0.069,0.72146,0.55036,0.59015,0.33987,0.57388,0.47136,0.07355,3.32457e-05,3.32457e-05,3.32457e-05
94,126165,0.60934,0.46472,0.06892,0.72365,0.55518,0.58726,0.33756,0.57378,0.47138,0.07353,3.22778e-05,3.22778e-05,3.22778e-05
95,127510,0.61035,0.46502,0.06889,0.72682,0.55834,0.58763,0.33754,0.57367,0.47136,0.07352,3.1318e-05,3.1318e-05,3.1318e-05
96,128856,0.60887,0.46517,0.06861,0.70116,0.56169,0.58674,0.33646,0.57368,0.47125,0.07346,3.03665e-05,3.03665e-05,3.03665e-05
97,130201,0.60877,0.46482,0.06884,0.69538,0.56852,0.58713,0.33655,0.57366,0.47109,0.07346,2.94239e-05,2.94239e-05,2.94239e-05
98,131545,0.6086,0.4654,0.06892,0.68793,0.56973,0.58669,0.33644,0.57343,0.47125,0.07344,2.84906e-05,2.84906e-05,2.84906e-05
99,132889,0.60826,0.46539,0.06903,0.68387,0.56153,0.58735,0.33638,0.57337,0.4714,0.07343,2.75668e-05,2.75668e-05,2.75668e-05
100,134231,0.60862,0.46488,0.06869,0.68782,0.56559,0.58687,0.33605,0.57335,0.47127,0.0734,2.66532e-05,2.66532e-05,2.66532e-05
101,135575,0.60846,0.46501,0.06874,0.68837,0.56576,0.587,0.33638,0.57344,0.47101,0.07338,2.575e-05,2.575e-05,2.575e-05
102,136918,0.60802,0.46513,0.0689,0.69646,0.56165,0.58539,0.33519,0.5732,0.4713,0.07336,2.48577e-05,2.48577e-05,2.48577e-05
103,138261,0.60797,0.46466,0.06847,0.70166,0.56152,0.58527,0.33452,0.57319,0.47129,0.07333,2.39766e-05,2.39766e-05,2.39766e-05
104,139602,0.60928,0.46448,0.06859,0.69715,0.56387,0.58523,0.33499,0.57309,0.47138,0.07329,2.31071e-05,2.31071e-05,2.31071e-05
105,140944,0.60715,0.46489,0.06837,0.69804,0.56402,0.58616,0.33499,0.57314,0.47122,0.0733,2.22497e-05,2.22497e-05,2.22497e-05
106,142285,0.60779,0.46475,0.06858,0.67828,0.56034,0.58534,0.33482,0.57315,0.47119,0.07331,2.14046e-05,2.14046e-05,2.14046e-05
107,143626,0.60796,0.46477,0.06865,0.69116,0.5653,0.5858,0.33603,0.57299,0.47126,0.07325,2.05723e-05,2.05723e-05,2.05723e-05
108,144966,0.60753,0.46457,0.06833,0.68261,0.56442,0.58588,0.33506,0.57293,0.47124,0.07327,1.97532e-05,1.97532e-05,1.97532e-05
109,146307,0.60752,0.46442,0.06852,0.70331,0.56447,0.58712,0.33625,0.57281,0.47121,0.07328,1.89475e-05,1.89475e-05,1.89475e-05
110,147648,0.60814,0.464,0.0685,0.68445,0.55602,0.58658,0.33598,0.5729,0.47111,0.07326,1.81557e-05,1.81557e-05,1.81557e-05
111,148988,0.60741,0.46416,0.06832,0.68636,0.56135,0.58553,0.33594,0.57274,0.47128,0.0732,1.7378e-05,1.7378e-05,1.7378e-05
112,150328,0.60764,0.46484,0.06862,0.69265,0.56502,0.58664,0.3353,0.5727,0.47121,0.07319,1.66149e-05,1.66149e-05,1.66149e-05
113,151668,0.60784,0.46394,0.0683,0.68892,0.56596,0.58682,0.33534,0.57282,0.47101,0.07319,1.58667e-05,1.58667e-05,1.58667e-05
