epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
58,106623,0.55797,0.44951,0.06688,0.70287,0.57651,0.59062,0.33564,0.56163,0.46784,0.07142,6.87222e-05,6.87222e-05,6.87222e-05
59,108458,0.55798,0.44933,0.06705,0.67313,0.58388,0.58955,0.33475,0.56179,0.4681,0.07143,6.77543e-05,6.77543e-05,6.77543e-05
60,110294,0.55725,0.44914,0.06669,0.71325,0.56679,0.5895,0.33489,0.56207,0.4682,0.07142,6.67789e-05,6.67789e-05,6.67789e-05
61,112130,0.55646,0.44862,0.06668,0.70585,0.5677,0.58917,0.33575,0.56226,0.46827,0.07135,6.57963e-05,6.57963e-05,6.57963e-05
62,113966,0.55649,0.44735,0.06659,0.69802,0.56731,0.58874,0.33496,0.56245,0.46835,0.07142,6.48071e-05,6.48071e-05,6.48071e-05
63,115803,0.55544,0.4471,0.06633,0.67887,0.56494,0.58906,0.33513,0.56222,0.46861,0.07145,6.38115e-05,6.38115e-05,6.38115e-05
64,117640,0.55451,0.44709,0.06618,0.67666,0.56795,0.5848,0.33183,0.56222,0.46854,0.07148,6.28101e-05,6.28101e-05,6.28101e-05
65,119476,0.55408,0.44675,0.06633,0.67067,0.56612,0.58486,0.33144,0.56236,0.46892,0.07149,6.18034e-05,6.18034e-05,6.18034e-05
66,121311,0.55349,0.44605,0.06614,0.66686,0.57239,0.5827,0.33003,0.56247,0.46905,0.07161,6.07916e-05,6.07916e-05,6.07916e-05
67,123147,0.55316,0.44569,0.06607,0.65632,0.57556,0.58127,0.32944,0.56256,0.46915,0.07171,5.97754e-05,5.97754e-05,5.97754e-05
68,124983,0.55351,0.44531,0.06598,0.6707,0.565,0.58227,0.33002,0.56244,0.46923,0.07182,5.87551e-05,5.87551e-05,5.87551e-05
69,126819,0.55196,0.44506,0.06574,0.66498,0.56755,0.57998,0.32923,0.56228,0.46933,0.07184,5.77311e-05,5.77311e-05,5.77311e-05
70,128656,0.55174,0.44483,0.06576,0.66445,0.56755,0.57976,0.32906,0.5625,0.46951,0.07193,5.6704e-05,5.6704e-05,5.6704e-05
71,130492,0.55142,0.44425,0.06543,0.66402,0.56696,0.58022,0.32916,0.56248,0.46985,0.07195,5.56742e-05,5.56742e-05,5.56742e-05
72,132328,0.55087,0.4435,0.06565,0.66052,0.56801,0.57837,0.32845,0.56258,0.46999,0.07194,5.46421e-05,5.46421e-05,5.46421e-05
73,134163,0.5497,0.44318,0.06543,0.6636,0.56589,0.57902,0.32862,0.56269,0.47011,0.07189,5.36081e-05,5.36081e-05,5.36081e-05
74,136001,0.5488,0.44268,0.06517,0.65691,0.57089,0.57948,0.32913,0.56275,0.47034,0.07199,5.25728e-05,5.25728e-05,5.25728e-05
75,137837,0.54925,0.44295,0.0652,0.66014,0.56724,0.57872,0.32865,0.56299,0.47065,0.07198,5.15366e-05,5.15366e-05,5.15366e-05
76,139673,0.54882,0.4421,0.06504,0.66381,0.56355,0.57872,0.32868,0.56311,0.47113,0.07197,5.05e-05,5.05e-05,5.05e-05
77,141509,0.54835,0.4414,0.065,0.6587,0.56546,0.5797,0.32941,0.56366,0.47093,0.07207,4.94634e-05,4.94634e-05,4.94634e-05
78,143345,0.54636,0.44137,0.06477,0.66362,0.56388,0.57692,0.32819,0.56378,0.47118,0.07208,4.84272e-05,4.84272e-05,4.84272e-05
79,145183,0.54687,0.44078,0.06474,0.66576,0.56617,0.57963,0.32951,0.56411,0.47148,0.07223,4.73919e-05,4.73919e-05,4.73919e-05
80,147019,0.54592,0.4408,0.06458,0.66533,0.56387,0.57901,0.32921,0.56431,0.47166,0.07232,4.63579e-05,4.63579e-05,4.63579e-05
81,148855,0.5459,0.44033,0.06473,0.66641,0.56242,0.58251,0.33233,0.56452,0.47197,0.07237,4.53258e-05,4.53258e-05,4.53258e-05
82,150691,0.54523,0.44022,0.06449,0.66144,0.56503,0.57908,0.32957,0.56477,0.47186,0.07248,4.4296e-05,4.4296e-05,4.4296e-05
83,152527,0.54422,0.43971,0.06428,0.66694,0.55952,0.57876,0.32937,0.56482,0.47196,0.07241,4.32689e-05,4.32689e-05,4.32689e-05
84,154362,0.54405,0.43934,0.06442,0.66523,0.55862,0.57815,0.32921,0.56516,0.47184,0.07256,4.22449e-05,4.22449e-05,4.22449e-05
85,156199,0.54351,0.43872,0.06422,0.66506,0.5588,0.57745,0.3286,0.56596,0.47197,0.07262,4.12246e-05,4.12246e-05,4.12246e-05
86,158035,0.54226,0.43809,0.06408,0.66582,0.55853,0.57566,0.32725,0.56614,0.47242,0.07255,4.02084e-05,4.02084e-05,4.02084e-05
